卡拉马佐夫兄弟,[俄]费奥多尔·陀思妥耶夫斯基/荣如德/上海译文出版社/2006-8/25.00元,9.4
灿烂千阳,[美]卡勒德·胡赛尼/李继宏/上海人民出版社/2007-9/28.00元,8.8
邓小平时代,[美]傅高义/冯克利/生活·读书·新知三联书店/2013-1/88.00元,9.1
树上的男爵,[意大利]伊塔洛·卡尔维诺/吴正仪/译林出版社/2012-4-1/30.00元,9.1
台北人,白先勇/广西师范大学出版社/2010-10/38.00元,8.9
诗经,孔丘编订/北京出版社/2006-7/19.90元,9.4
人间词话,王国维/上海古籍出版社/1998-12-01/9.80元,9.0
窗边的小豆豆,[日]黑柳彻子著/赵玉皎/南海出版公司/2003-1/20.00元,8.7
永恒的终结:关于时间旅行的终极奥秘和恢宏构想,[美]艾萨克·阿西莫夫/崔正男/江苏凤凰文艺出版社/2014-9-1/32.00元,9.0
西游记（全二册）,吴承恩/黄肃秋注释/人民文学出版社/2004-8/47.20元,8.9
悉达多,[德]赫尔曼·黑塞/杨玉功译/上海人民出版社/2009-3/20.00,9.0
爱你就像爱生命,王小波/上海锦绣文章出版社/2008-5/18.00元,8.8
我们仨,杨绛/生活·读书·新知三联书店/2003-7/18.80元,8.7
巨人的陨落:世纪三部曲,[英]肯·福莱特/于大卫/江苏凤凰文艺出版社/2016-5-1/129.80元,8.9
